section_id,section_title,short_long_description
Section 1,"Short title, extent and commencement",Error generating summary: Connection error.
Section 10,"Powers of entry and inspection - (1) Subject to the provisions of this section, any",Error generating summary: Connection error.
Section 11,Power to take sample and procedure to be followed in connection therewith,Error generating summary: Connection error.
Section 12,"Environmental laboratories - (1) The Central Government may, by notification in",Error generating summary: Connection error.
Section 13,Government analysts - The Central Government may by notification in the Official,Error generating summary: Connection error.
Section 14,Reports of government analysts - Any document purporting to be a report signed,Error generating summary: Connection error.
Section 15,"Penalty for contravention of the provisions of the act and the rules, orders",Error generating summary: Connection error.
Section 16,Offences by companies - (1) Where any offence under this Act has been,Error generating summary: Connection error.
Section 17,Offences by Government Departments - (1) Where an offence under this Act has,Error generating summary: Connection error.
Section 18,"Protection of action taken in good faith - No suit, prosecution or other legal",Error generating summary: Connection error.
Section 19,Cognizance of offences - No court shall take cognizance of any offence under this,Error generating summary: Connection error.
Section 2,Definitions,Error generating summary: Connection error.
Section 20,"Information, reports or returns - The Central Government may, in relation to its",Error generating summary: Connection error.
Section 21,"Members, officers and employees of the authority constituted under section",Error generating summary: Connection error.
Section 22,Bar of jurisdiction - No civil court shall have jurisdiction to entertain any suit or,Error generating summary: Connection error.
Section 23,Powers to delegate - Without prejudice to the provisions of sub-section (3) of,Error generating summary: Connection error.
Section 24,"Effect of other laws - (1) Subject to the provisions of sub-section (2), the",Error generating summary: Connection error.
Section 25,"Power to make rules - (1) The Central Government may, by notification in the",Error generating summary: Connection error.
Section 3,Power of Central Government to take measures to protect and improve,Error generating summary: Connection error.
Section 4,Appointment of officers and their powers and functions -,Error generating summary: Connection error.
Section 5,Power to give directions - Notwithstanding anything contained in any other law but,Error generating summary: Connection error.
Section 6,"Rules to regulate environmental pollution - (1) The Central Government may, by",Error generating summary: Connection error.
Section 8,Persons handling hazardous substances to comply with procedural safeguards,Error generating summary: Connection error.
Section 9,Furnishing of information to authorities and agencies in certain cases - (1),Error generating summary: Connection error.
